ACRES,BOROUGH,LOCATION,SIGNNAME,TYPECATEGORY,URL,ZIPCODE
0.116,X,Elton Av bet. E 159 St and E 160 St,Edith Garden,Garden,http://www.nycgovparks.org/parks/X341/,10451
1.341,X,Hoe Av bet. Aldus St and Westchester Av,Printers Park,Playground,http://www.nycgovparks.org/parks/X284/,10459
0.525,M,"W. 17 St., 8 Ave. To 9 Ave.",Dr. Gertrude B. Kelly Playground,Neighborhood Park,http://www.nycgovparks.org/parks/M066/,10011
1.451,M,"Columbia St, Delancey St and Bialystoker Pl",Luther Gulick Park,Neighborhood Park,http://www.nycgovparks.org/parks/M065/,10002
0.69,M,"W. 59 St., W. 60 St., bet. Amsterdam Ave. and W. End Ave.",Gertrude Ederle Recreation Center,Buildings/Institutions,http://www.nycgovparks.org/parks/M063/,10023
1.383,M,"1 Ave., bet. E. 67 St. To E. 68 St.",St. Catherine's Park,Neighborhood Park,http://www.nycgovparks.org/parks/M079/,10065
22.74,M,"St. Nicholas Ave., St. Nicholas Ter. bet. W. 128 St. and W. 141 St.",St. Nicholas Park,Neighborhood Park,http://www.nycgovparks.org/parks/M077/,1002710031
0.367,X,"Longfellow Ave., Lowell St., E. 165 St.",Longfellow Playground,Playground,http://www.nycgovparks.org/parks/X290/,10459
1.815,X,Rev James Polite Av to Interval Av bet. E 167 St and Home St,Rev J Polite Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/X116/,10459
2.759,M,"1 Ave.,2 Ave., bet. E. 35 St. and E. 36 St.",St. Vartan Park,Neighborhood Park,http://www.nycgovparks.org/parks/M076/,10016
1.524,M,"Jumel Terr To Edgecombe Av, W 160 St To W 162 St",Roger Morris Park,Historic House Park,http://www.nycgovparks.org/parks/M073/,10032
0.635,M,Thompson St bet. Spring St and Prince St,Vesuvio Playground,Neighborhood Park,http://www.nycgovparks.org/parks/M069/,10012
0.488,X,E 164 St bet. Cauldwell Av and Boston Rd,Charlton Garden,Neighborhood Park,http://www.nycgovparks.org/parks/X086/,10456
0.095,M,"Broadway, Amsterdam Ave. and W. 73 St.",Verdi Square,Triangle/Plaza,http://www.nycgovparks.org/parks/M097/,10023
0.332,B,Hart St. bet. Marcy Ave. and Tompkins Ave.,Hart to Hart,Garden,http://www.nycgovparks.org/parks/B474/,11206
